          Method |    1-2|    2-3|    3-4|    4-5|    5-6|    6-7|    7-8|    8-9|   9-10|  10-11|  11-12|  12-13|  13-14|  14-15|  15-16|  16-17|  17-18|  18-19|  error
           Lidar | 12.52 | 12.61 | 14.09 | 16.69 | 15.91 | 12.68 | 11.98 | 13.12 | 13.02 | 11.17 | 12.81 |  8.96 |  9.96 |  9.60 |  8.57 |  9.52 |  9.55 |  8.40 |     -
     AKAZE/AKAZE | 14.62 | 14.69 |  9.58 | 11.20 | 12.32 | 10.36 | 14.13 |  8.62 | 13.55 | 12.34 | 10.86 | 15.10 |  7.44 | 10.14 |  4.93 |  9.62 |  7.47 |  5.05 |  3.17
     AKAZE/BRIEF | 14.29 | 10.99 | 14.36 | 15.52 | 11.72 | 12.72 | 10.29 | 10.00 | 12.66 | 12.83 |  6.71 |  9.83 |  9.75 |  8.71 |  8.17 | 10.20 |  7.13 |  9.11 |  2.19
     AKAZE/BRISK | 11.59 | 15.63 | 12.68 | 15.24 | 10.00 | 18.15 | 15.66 | 10.07 | 10.41 | 13.66 |  9.64 |  9.73 |  8.65 |  8.97 |  7.74 |  6.70 | 12.44 |  8.86 |  2.84
     AKAZE/FREAK |  8.21 |  9.54 |  8.52 |  7.94 | 13.30 | 10.91 |  9.49 |  9.17 |  9.57 | 10.53 |  8.68 |  9.85 |  8.44 |  8.38 |  4.23 |  6.15 | 13.08 |  7.17 |  3.69
       AKAZE/ORB | 11.41 | 16.06 |  9.91 | 11.29 | 13.34 | 11.71 | 14.67 | 12.06 | 12.50 |  8.26 |  9.01 | 10.70 |  9.64 |  9.82 |  6.85 |  8.15 |  7.75 |  8.29 |  2.47
      AKAZE/SIFT |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     -
     BRISK/BRIEF |  0.12 |  1.08 |  6.77 |  3.67 |  2.55 |  5.65 |  4.67 |  1.82 | 15.39 |  5.38 |  6.87 |  7.81 |  6.20 |  3.62 |  5.43 |  4.60 |  5.40 |  5.43 |  7.83
     BRISK/BRISK |  0.89 |  9.00 |  3.30 |  3.76 |     - |  3.92 | 10.17 |  4.94 | 10.84 |  4.51 |  5.47 |  4.58 |  3.78 |  5.70 |  6.71 | 11.44 |  5.11 |  6.64 |  7.78
     BRISK/FREAK |     - |  2.85 |  2.73 |  4.28 |  6.62 |  6.43 |  6.36 |  6.81 |  1.31 |  6.60 | 11.90 |  2.59 |  6.83 |  7.12 |  5.84 |  4.74 |  4.44 |  6.38 |  7.72
       BRISK/ORB |  1.95 |  4.41 |  5.23 |  4.80 |  2.41 |  3.32 |  6.22 |  3.18 | 11.74 |  4.45 |  5.01 |  4.32 |  7.42 |  1.86 |  3.58 |  5.80 |  4.17 |  3.93 |  7.76
      BRISK/SIFT |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     -
      FAST/BRIEF |  1.26 | 10.11 |  4.38 |  5.87 |     - |  3.02 |  2.92 |  1.56 |  3.28 |  2.47 |  6.58 |  3.37 |  4.99 |  1.56 |  7.07 |  3.47 |  7.08 |  0.43 |  9.23
      FAST/BRISK |  5.37 |  5.39 |  8.48 |  5.27 |  3.87 |  5.55 | 10.01 |  7.44 | 26.61 |  6.14 |  8.69 |  6.80 |  5.98 |  6.06 |  6.92 |  9.83 |  7.98 |  7.25 |  6.51
      FAST/FREAK |  0.95 |     - |  2.37 |  1.49 |     - |  2.72 |     - |  5.73 |  4.46 |  4.30 |  7.04 |  6.72 |  9.77 | 11.11 |  4.61 |  3.64 |  5.69 |  5.14 | 10.70
        FAST/ORB |  8.41 |  3.45 |  3.86 |  3.89 |     - |  3.43 |  0.13 |  5.42 |  5.80 |  7.67 |  2.10 |  6.23 |  6.50 | 12.55 |  3.91 |  3.36 |  3.88 |  5.81 |  8.28
       FAST/SIFT |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     -
    HARRIS/BRIEF |  2.42 |     - |268.90 |     - |  2.65 |     - |  5.74 |     - |     - |     - |     - |     - |  3.47 |     - |  9.53 |     - |     - |     - | 74.53
    HARRIS/BRISK |     - |     - |     - |     - |     - |     - |  6.72 |  3.93 |  0.19 |     - |  0.22 |     - |     - |     - |     - |  7.52 |  4.46 |     - | 14.20
    HARRIS/FREAK |  2.65 |     - | 11.37 |  0.20 |     - |     - |  6.42 |  0.57 |  0.10 |     - |  0.27 |  0.27 |     - |     - |     - |  2.36 |  4.46 | 31.57 | 12.51
      HARRIS/ORB |     - |     - |268.90 |     - |  3.43 |     - | 11.80 |  3.28 |     - |     - |     - |     - |     - |     - |  2.04 |     - |     - |     - | 85.74
     HARRIS/SIFT |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     -
       ORB/BRIEF |     - |  3.41 |  5.90 |  5.47 |  3.42 |  6.33 |  5.84 | 12.36 |  4.73 | 10.39 | 41.15 |     - |     - |  9.52 |  4.00 | 10.73 |     - |     - | 16.41
       ORB/BRISK |  2.82 |  5.90 |  7.35 |  1.53 |     - |  2.38 |  5.94 |  9.46 |  1.77 |  0.18 |  1.75 |  3.61 |  3.78 |  4.30 |  2.20 |  3.90 |     - |  0.65 | 10.36
       ORB/FREAK |  7.94 |     - |  4.82 |  4.56 |     - |     - |     - |  6.74 |  1.06 |  3.03 |  7.25 |  9.74 |  4.76 |  2.33 |  4.70 |  2.73 |  0.92 |  3.08 | 10.53
         ORB/ORB | 12.24 |     - |  4.14 |  4.31 |  2.85 |  5.06 |  5.73 |  2.91 | 17.65 |  6.47 |  5.03 |  5.01 |  6.48 |  5.21 |  3.59 |  6.03 |  5.15 |  3.98 | 11.11
        ORB/SIFT |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     -
 SHITOMASI/BRIEF |  2.89 |  6.90 |  9.46 |  3.88 |  1.73 |  4.13 |  2.67 |  5.07 |  7.86 |  1.29 |  5.20 |     - |  6.29 |  6.66 |  5.53 |  3.98 | 15.29 |  5.99 |  8.34
 SHITOMASI/BRISK |  8.45 |  6.35 |  6.57 |  7.41 | 10.09 |  5.88 |  2.65 |  7.77 |  7.04 |  9.40 |  3.50 |  7.79 |  9.74 |  9.42 |  6.44 |  6.96 |  6.55 |  9.26 |  5.49
 SHITOMASI/FREAK |  5.71 |  5.48 |  6.66 |  5.76 |  8.44 | 11.32 |  9.14 |  5.29 |  8.18 |  7.57 |  8.69 |  6.63 |  7.95 | 10.12 |  4.73 |  5.83 |  8.54 |  4.83 |  5.29
   SHITOMASI/ORB |  1.21 |  4.38 |  3.68 |     - |  4.45 |  4.48 |  6.15 |  6.51 |  7.12 | 12.42 |  6.16 |  9.83 |  5.26 |  6.29 |  5.81 |  5.43 |  6.20 |  4.83 |  7.65
  SHITOMASI/SIFT |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     -
      SIFT/BRIEF | 10.35 |  5.68 |  8.66 | 14.42 |  8.11 | 13.39 |  7.91 | 11.52 | 14.55 | 12.85 |  9.38 | 10.42 |  7.96 |  6.49 |  7.98 |  7.47 |  8.73 |  6.93 |  3.40
      SIFT/BRISK |  8.74 | 14.85 | 13.10 | 12.85 | 16.48 | 10.29 | 11.38 | 14.12 | 16.41 |  8.43 |  9.75 | 11.81 |  7.52 |  7.24 |  8.50 |  6.81 |  9.15 |  7.18 |  2.35
      SIFT/FREAK | 10.58 | 12.20 | 11.45 | 17.79 | 14.63 | 10.44 | 11.57 | 10.38 | 11.17 | 11.32 |  8.60 |  6.62 |  9.98 |  8.01 |  8.17 |  7.95 |  8.34 |  6.80 |  1.86
       SIFT/SIFT |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     -
